id_commande,date_commande,produit,categorie,sous_categorie,region,province,quantite,chiffre_affaires,marge,remise,prix_unitaire,segment_client,mode_livraison,taux_marge,mois,annee,vente_a_perte
3,2010-10-13,"Eldon Base for stackable storage shelf, platinum",Office Supplies,Storage & Organization,Nunavut,Nunavut,6,261.54,-213.25,0.04,38.94,Small Business,Regular Air,-0.8153628508067599,2010-10-01,2010,True
293,2012-10-01,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Office Supplies,Appliances,Nunavut,Nunavut,49,10123.02,457.81,0.07,208.16,Consumer,Delivery Truck,0.045224646399987356,2012-10-01,2012,False
293,2012-10-01,"Cardinal Slant-D¨ Ring Binder, Heavy Gauge Vinyl",Office Supplies,Binders and Binder Accessories,Nunavut,Nunavut,27,244.57,46.71,0.01,8.69,Consumer,Regular Air,0.19098826511837103,2012-10-01,2012,False
483,2011-07-10,R380,Technology,Telephones and Communication,Nunavut,Nunavut,30,4965.7595,1198.97,0.08,195.99,Corporate,Regular Air,0.24144745632566378,2011-07-01,2011,False
515,2010-08-28,Holmes HEPA Air Purifier,Office Supplies,Appliances,Nunavut,Nunavut,19,394.27,30.94,0.08,21.78,Consumer,Regular Air,0.07847414208537297,2010-08-01,2010,False
515,2010-08-28,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Furniture,Office Furnishings,Nunavut,Nunavut,21,146.69,4.43,0.05,6.64,Consumer,Regular Air,0.03019974095030336,2010-08-01,2010,False
613,2011-06-17,"Angle-D Binders with Locking Rings, Label Holders",Office Supplies,Binders and Binder Accessories,Nunavut,Nunavut,12,93.54,-54.04,0.03,7.3,Corporate,Regular Air,-0.5777207611716912,2011-06-01,2011,True
613,2011-06-17,"SAFCO Mobile Desk Side File, Wire Frame",Office Supplies,Storage & Organization,Nunavut,Nunavut,22,905.08,127.7,0.09,42.76,Corporate,Regular Air,0.14109250011048746,2011-06-01,2011,False
643,2011-03-24,"SAFCO Commercial Wire Shelving, Black",Office Supplies,Storage & Organization,Nunavut,Nunavut,21,2781.82,-695.26,0.07,138.14,Corporate,Express Air,-0.24992990200659998,2011-03-01,2011,True
678,2010-02-26,Xerox 198,Office Supplies,Paper,Nunavut,Nunavut,44,228.41,-226.36,0.07,4.98,Home Office,Regular Air,-0.9910249113436366,2010-02-01,2010,True
807,2010-11-23,Xerox 1980,Office Supplies,Paper,Nunavut,Nunavut,45,196.85,-166.85,0.01,4.28,Home Office,Regular Air,-0.8475996951993904,2010-11-01,2010,True
807,2010-11-23,Advantus Map Pennant Flags and Round Head Tacks,Office Supplies,Rubber Bands,Nunavut,Nunavut,32,124.56,-14.33,0.04,3.95,Home Office,Regular Air,-0.11504495825305074,2010-11-01,2010,True
868,2012-06-08,Holmes HEPA Air Purifier,Office Supplies,Appliances,Nunavut,Nunavut,32,716.84,134.72,0.0,21.78,Home Office,Regular Air,0.1879359410747168,2012-06-01,2012,False
868,2012-06-08,"DS/HD IBM Formatted Diskettes, 200/Pack - Staples",Technology,Computer Peripherals,Nunavut,Nunavut,31,1474.33,114.46,0.04,47.98,Home Office,Regular Air,0.07763526483216104,2012-06-01,2012,False
933,2012-08-04,"Wilson Jones 1"" Hanging DublLock¨ Ring Binders",Office Supplies,Binders and Binder Accessories,Nunavut,Nunavut,15,80.61,-4.72,0.02,5.28,Small Business,Regular Air,-0.05855352933879171,2012-08-01,2012,True
995,2011-05-30,Ultra Commercial Grade Dual Valve Door Closer,Furniture,Office Furnishings,Nunavut,Nunavut,46,1815.49,782.91,0.03,39.89,Home Office,Regular Air,0.4312389492643859,2011-05-01,2011,False
998,2009-11-25,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Office Supplies,Envelopes,Nunavut,Nunavut,16,248.26,93.8,0.07,15.74,Small Business,Regular Air,0.37782969467493754,2009-11-01,2009,False
1154,2012-02-14,Hon 4-Shelf Metal Bookcases,Furniture,Bookcases,Nunavut,Nunavut,44,4462.23,440.72,0.04,100.98,Home Office,Delivery Truck,0.09876676011769901,2012-02-01,2012,False
1154,2012-02-14,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",Furniture,Tables,Nunavut,Nunavut,11,663.784,-481.04,0.25,71.37,Home Office,Regular Air,-0.7246935750183795,2012-02-01,2012,True
1344,2012-04-15,g520,Technology,Telephones and Communication,Nunavut,Nunavut,15,834.904,-11.68,0.06,65.99,Corporate,Regular Air,-0.01398963234096375,2012-04-01,2012,True
1344,2012-04-15,LX 788,Technology,Telephones and Communication,Nunavut,Nunavut,18,2480.9205,313.58,0.01,155.99,Corporate,Regular Air,0.12639663383006428,2012-04-01,2012,False
1412,2010-03-12,Avery 52,Office Supplies,Labels,Nunavut,Nunavut,13,59.03,26.92,0.1,3.69,Consumer,Express Air,0.4560393020498052,2010-03-01,2010,False
1412,2010-03-12,Plymouth Boxed Rubber Bands by Plymouth,Office Supplies,Rubber Bands,Nunavut,Nunavut,21,97.48,-5.77,0.05,4.71,Consumer,Regular Air,-0.05919162905211325,2010-03-01,2010,True
1539,2011-03-09,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Office Supplies,Binders and Binder Accessories,Nunavut,Nunavut,33,511.83,-172.88,0.1,15.99,Corporate,Regular Air,-0.33776839966395095,2011-03-01,2011,True
1539,2011-03-09,"Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack",Technology,Computer Peripherals,Nunavut,Nunavut,38,184.99,-144.55,0.05,4.89,Corporate,Regular Air,-0.7813935888426402,2011-03-01,2011,True
1540,2012-08-04,Newell 335,Office Supplies,Pens & Art Supplies,Nunavut,Nunavut,30,80.9,5.76,0.09,2.88,Home Office,Regular Air,0.07119901112484547,2012-08-01,2012,False
1702,2011-05-06,SANFORD Liquid Accentª Tank-Style Highlighters,Office Supplies,Pens & Art Supplies,Nunavut,Nunavut,23,67.24,4.9,0.06,2.84,Home Office,Regular Air,0.07287328970850686,2011-05-01,2011,False
1761,2010-12-23,Canon PC940 Copier,Technology,Copiers and Fax,Nunavut,Nunavut,25,12028.23,-547.61,0.01,449.99,Corporate,Delivery Truck,-0.0455270642480232,2010-12-01,2010,True
1792,2010-11-08,"Tenex Personal Project File with Scoop Front Design, Black",Office Supplies,Storage & Organization,Nunavut,Nunavut,28,370.48,-5.45,0.04,13.48,Consumer,Regular Air,-0.014710645648887929,2010-11-01,2010,True
2275,2012-10-21,Col-Erase¨ Pencils with Erasers,Office Supplies,Pens & Art Supplies,Nunavut,Nunavut,49,278.0,41.67,0.08,6.08,Small Business,Regular Air,0.14989208633093526,2012-10-01,2012,False
2277,2011-01-01,"Imation 3.5"" DS/HD IBM Formatted Diskettes, 10/Pack",Technology,Computer Peripherals,Nunavut,Nunavut,10,66.54,-46.03,0.01,5.98,Home Office,Regular Air,-0.6917643522693117,2011-01-01,2011,True
2277,2011-01-01,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",Office Supplies,Paper,Nunavut,Nunavut,21,845.32,33.67,0.06,40.99,Home Office,Regular Air,0.03983106989069228,2011-01-01,2011,False
2532,2011-10-10,Self-Adhesive Address Labels for Typewriters by Universal,Office Supplies,Labels,Nunavut,Nunavut,39,282.07,140.01,0.03,7.31,Corporate,Regular Air,0.49636615024639275,2011-10-01,2011,False
2532,2011-10-10,Accessory37,Technology,Telephones and Communication,Nunavut,Nunavut,24,426.037,-78.96,0.01,20.99,Corporate,Regular Air,-0.18533601541650138,2011-10-01,2011,True
